batch_id,fish_species,has_temperature_telemetry,temperature_reading_count,current_temperature,average_temperature,minimum_temperature,maximum_temperature,air_temperature,humidity,storage_duration_hours,transport_duration_hours,time_above_limit_minutes,temperature_violation_count,time_since_catch_hours,spoilage_risk
SYNTH-BATCH-000001,Tuna,True,14,8.82,8.63,6.88,9.11,9.35,91.86,7.01,3.31,198.6,14,7.01,MEDIUM
SYNTH-BATCH-000001,Tuna,True,15,9.66,8.87,7.73,9.66,8.66,96.21,14.02,4.49,269.4,14,14.02,MEDIUM
SYNTH-BATCH-000001,Tuna,False,0,,,,,9.88,89.21,21.02,9.72,0.0,0,21.02,LOW
SYNTH-BATCH-000001,Tuna,True,27,8.65,9.33,8.0,10.98,11.46,92.19,28.03,7.84,470.3,26,28.03,HIGH
SYNTH-BATCH-000002,Snapper,True,47,9.23,9.35,6.76,10.32,9.78,65.6,28.24,9.37,562.2,47,28.24,HIGH
SYNTH-BATCH-000002,Snapper,True,58,7.97,7.86,6.36,10.42,9.7,59.96,56.48,29.14,1748.4,58,56.48,HIGH
SYNTH-BATCH-000002,Snapper,False,0,,,,,10.45,65.33,84.72,31.11,0.0,0,84.72,LOW
SYNTH-BATCH-000002,Snapper,True,210,8.89,9.05,6.8,12.72,8.99,67.39,112.96,59.29,3557.17,210,112.96,HIGH
SYNTH-BATCH-000003,Snapper,True,34,7.68,6.94,6.35,9.18,9.07,58.32,37.2,7.75,464.77,34,37.2,MEDIUM
SYNTH-BATCH-000003,Snapper,True,82,8.59,8.25,7.1,9.07,11.18,56.76,74.41,22.34,1340.4,82,74.41,HIGH
SYNTH-BATCH-000003,Snapper,True,164,6.79,6.29,6.04,9.72,5.32,57.3,111.61,44.1,2645.73,164,111.61,HIGH
SYNTH-BATCH-000003,Snapper,True,185,7.18,7.47,7.18,10.32,9.06,56.64,148.82,54.04,3242.31,185,148.82,HIGH
SYNTH-BATCH-000004,Other,False,0,,,,,9.68,65.87,34.73,4.85,0.0,0,34.73,MEDIUM
SYNTH-BATCH-000004,Other,True,78,7.07,6.86,5.09,7.63,10.49,61.88,69.46,16.02,916.18,74,69.46,HIGH
SYNTH-BATCH-000004,Other,True,163,6.34,7.36,5.83,8.8,5.82,57.61,104.2,42.62,2557.2,162,104.2,HIGH
SYNTH-BATCH-000004,Other,True,227,6.25,5.88,3.27,6.25,6.31,59.22,138.93,47.89,2084.89,165,138.93,HIGH
SYNTH-BATCH-000005,Snapper,True,4,2.24,2.61,2.24,4.16,0.65,82.55,7.66,1.78,17.74,1,7.66,LOW
SYNTH-BATCH-000005,Snapper,True,18,3.6,1.66,0.5,4.49,-1.93,82.45,15.31,4.6,21.57,2,15.31,LOW
SYNTH-BATCH-000005,Snapper,True,52,3.03,2.08,0.84,5.64,4.4,69.96,22.97,9.02,119.46,12,22.97,LOW
SYNTH-BATCH-000005,Snapper,True,80,1.08,1.69,0.55,5.01,2.42,77.91,30.63,15.85,117.57,10,30.63,LOW
SYNTH-BATCH-000006,Sardine,False,0,,,,,7.63,77.79,10.88,2.06,0.0,0,10.88,LOW
SYNTH-BATCH-000006,Sardine,True,27,8.9,8.95,8.6,12.98,7.01,76.77,21.75,6.34,380.4,27,21.75,HIGH
SYNTH-BATCH-000006,Sardine,True,98,9.01,9.19,7.03,10.68,6.86,74.43,32.63,17.02,1021.2,98,32.63,HIGH
SYNTH-BATCH-000006,Sardine,True,54,9.74,8.36,7.25,12.41,6.65,80.87,43.51,20.3,1218.0,54,43.51,HIGH
SYNTH-BATCH-000007,Sardine,True,20,2.14,2.82,2.14,5.26,1.98,68.34,14.97,7.73,129.22,6,14.97,LOW
SYNTH-BATCH-000007,Sardine,True,51,2.05,1.08,-0.65,4.89,2.1,63.08,29.94,16.16,39.74,2,29.94,LOW
SYNTH-BATCH-000007,Sardine,True,38,3.72,2.82,2.37,5.83,1.53,59.09,44.9,7.4,144.25,13,44.9,LOW
SYNTH-BATCH-000007,Sardine,True,113,2.71,2.52,-0.06,4.18,2.79,60.46,59.87,21.73,203.95,18,59.87,LOW
SYNTH-BATCH-000008,Sardine,False,0,,,,,-1.55,87.47,4.9,1.16,0.0,0,4.9,LOW
SYNTH-BATCH-000008,Sardine,True,6,2.69,1.7,0.95,2.69,1.14,87.42,9.79,2.59,0.0,0,9.79,LOW
SYNTH-BATCH-000008,Sardine,True,7,1.44,0.74,0.08,4.18,1.43,87.52,14.69,4.46,0.0,0,14.69,LOW
SYNTH-BATCH-000008,Sardine,True,20,2.67,2.0,-0.33,2.67,3.0,91.27,19.58,3.61,0.0,0,19.58,LOW
SYNTH-BATCH-000009,Tuna,True,15,7.27,8.04,6.36,11.74,6.9,90.85,5.49,2.66,159.56,13,5.49,MEDIUM
SYNTH-BATCH-000009,Tuna,True,30,8.86,7.8,7.41,8.86,8.12,91.53,10.99,5.85,350.71,28,10.99,HIGH
SYNTH-BATCH-000009,Tuna,True,29,7.49,6.67,6.3,9.95,9.16,90.87,16.48,7.02,421.2,28,16.48,MEDIUM
SYNTH-BATCH-000009,Tuna,True,12,8.13,8.91,6.48,11.59,10.95,92.33,21.97,4.25,254.71,12,21.97,MEDIUM
SYNTH-BATCH-000010,Mackerel,True,66,4.59,3.36,2.2,5.81,-0.26,74.13,31.27,14.87,346.42,23,31.27,MEDIUM
SYNTH-BATCH-000010,Mackerel,True,50,4.74,2.98,2.65,5.52,,75.65,62.54,25.26,484.6,15,62.54,MEDIUM
SYNTH-BATCH-000010,Mackerel,True,139,3.57,3.38,1.41,4.6,0.78,72.65,93.81,45.89,808.49,41,93.81,MEDIUM
SYNTH-BATCH-000010,Mackerel,True,146,0.82,1.52,0.82,5.14,4.48,73.03,125.07,49.21,335.07,15,125.07,MEDIUM
SYNTH-BATCH-000011,Other,True,34,3.36,3.07,0.6,5.28,3.67,84.36,17.62,5.85,108.79,10,17.62,LOW
SYNTH-BATCH-000011,Other,True,17,3.42,2.53,1.26,3.56,-0.86,83.89,35.24,6.84,44.66,1,35.24,LOW
SYNTH-BATCH-000011,Other,True,33,3.98,4.4,3.98,5.26,2.38,81.26,52.86,20.51,577.19,16,52.86,MEDIUM
SYNTH-BATCH-000011,Other,True,55,4.72,4.36,2.96,4.72,2.09,86.75,70.49,11.8,298.36,21,70.49,MEDIUM
SYNTH-BATCH-000012,Tuna,True,11,4.32,4.74,3.11,8.59,6.93,88.26,18.22,5.14,239.03,7,18.22,MEDIUM
SYNTH-BATCH-000012,Tuna,True,15,3.07,3.1,1.35,4.2,4.56,86.96,36.44,9.17,125.56,4,36.44,LOW
SYNTH-BATCH-000012,Tuna,True,29,6.49,6.15,5.79,8.29,6.62,92.16,54.65,15.47,855.11,28,54.65,HIGH
SYNTH-BATCH-000012,Tuna,True,54,7.29,7.51,6.41,9.05,3.67,96.54,72.87,28.42,1705.2,54,72.87,HIGH
SYNTH-BATCH-000013,Tilapia,True,51,-0.75,-0.01,-1.81,2.99,2.09,,34.5,9.22,0.0,0,34.5,LOW
SYNTH-BATCH-000013,Tilapia,True,24,1.09,2.09,-0.5,3.43,1.09,78.31,69.0,15.01,40.42,1,69.0,LOW
SYNTH-BATCH-000013,Tilapia,True,108,0.91,0.38,-0.87,1.61,-0.55,79.39,103.5,35.74,0.0,0,103.5,LOW
SYNTH-BATCH-000013,Tilapia,True,79,2.57,2.89,0.85,5.22,0.59,80.24,138.0,47.08,804.8,23,138.0,MEDIUM
SYNTH-BATCH-000014,Sardine,True,42,1.94,0.48,-0.08,4.28,0.94,60.47,33.55,11.03,0.0,1,33.55,LOW
